Consumer Price Index Monthly Vintages (PCPI),,,,
"M/M Growth (Annual Rate, Percentage Points)",,,,
"First-Release, Second-Release, Third-Release, and the Most-Recent-Release Values",,,,
,,,,
Date,First,Second,Third,Most_Recent
1998:10,2.9738,,,2.9756
1998:11,2.2173,,,1.4742
1998:12,1.4706,,,2.216
1999:01,1.4697,,,2.2119
1999:02,0.7315,,,0
1999:03,2.2078,,,0.731
1999:04,9.085,,,8.3104
1999:05,0,,,0.7257
1999:06,0,,,0
1999:07,3.6704,,,5.1793
1999:08,3.6593,,,2.9177
1999:09,5.1412,,,5.1444
1999:10,2.1653,,,2.1666
1999:11,1.4362,,,2.1627
1999:12,2.8879,,,2.8879
2000:01,2.1537,,,3.613
2000:02,6.5771,,,5.076
2000:03,8.8073,,,7.2917
2000:04,0,,,-0.6995
2000:05,0.7032,,,2.127
2000:06,7.2346,,,7.239
2000:07,2.8217,,,3.5405
2000:08,-0.6926,,,0
2000:09,6.436,,,6.436
2000:10,2.0936,,,2.0936
2000:11,2.0899,,,2.0899
2000:12,2.0863,,,2.7905
2001:01,7.8277,,,7.0935
2001:02,3.4689,,,2.768
2001:03,0.6832,,,0.684
2001:04,3.4569,,,2.0636
2001:05,4.856,,,6.2972
2001:06,2.738,,,2.7411
2001:07,-3.321,,,-2.0072
2001:08,0.6785,,,0
2001:09,4.8364,,,4.8392
2001:10,-3.9664,,,-3.3174
2001:11,0,,,-0.6736
2001:12,-2.0083,,,-0.674
2002:01,2.0495,,,2.0483
2002:02,2.7364,,,2.0448
2002:03,4.1208,,,3.4234
2002:04,6.2175,,,5.5127
2002:05,0,,,1.3468
2002:06,1.3453,,,0.6706
2002:07,1.3438,,,2.7056
2002:08,4.0765,,,3.3847
2002:09,2.0128,,,2.0128
2002:10,3.3695,,,2.6874
2002:11,1.3318,,,2.0049
2002:12,0.6632,,,2.0016
2003:01,4.0376,,,5.4102
2003:02,7.4903,,,6.7733
2003:03,3.9995,,,1.9785
2003:04,-3.8457,,,-4.4733
2003:05,0,,,-1.9475
2003:06,1.9818,,,1.3201
2003:07,1.9785,,,4.0039
2003:08,3.9862,,,5.3529
2003:09,3.3009,,,3.973
2003:10,0,,,-1.2889
2003:11,-2.564,,,0.6509
2003:12,2.6314,,,3.2919
2004:01,5.9999,,,5.2997
2004:02,3.2775,,,2.6071
2004:03,5.9536,,,2.6015
2004:04,2.5945,,,1.9412
2004:05,7.9518,,,5.2447
2004:06,3.8809,,,4.5558
2004:07,-0.6317,,,1.2779
2004:08,0.6358,,,0.6364
2004:09,1.9174,,,3.8726
2004:10,7.8607,,,6.5089
2004:11,1.9022,,,5.8096
2004:12,-0.6258,,,0
2005:01,0.6294,,,-0.6242
2005:02,4.4805,,,5.1271
2005:03,7.7633,,,4.4543
2005:04,6.3911,,,3.793
2005:05,-0.6162,,,-0.6178
2005:06,0,,,0.6216
2005:07,6.3606,,,7.6928
2005:08,6.3271,,,7.6438
2005:09,15.7164,,,17.8326
2005:10,2.4451,,,1.826
2005:11,-6.4383,,,-5.8634
2005:12,-0.605,,,0
2006:01,8.1825,,,7.5162
2006:02,0.6047,,,0.6038
2006:03,4.3015,,,1.8204
2006:04,7.4501,,,6.1773
2006:05,5.5075,,,3.647
2006:06,2.4035,,,3.0217
2006:07,5.4712,,,6.7408
2006:08,2.993,,,5.4546
2006:09,-5.7345,,,-5.7318
2006:10,-5.7621,,,-5.1974
2006:11,0,,,0.596
2006:12,6.7443,,,6.734
2007:01,2.1089,,,2.0094
2007:02,4.5397,,,4.7546
2007:03,7.5466,,,6.4217
2007:04,5.1053,,,3.6608
2007:05,8.3919,,,5.0739
2007:06,2.3215,,,2.8158
2007:07,1.4183,,,2.1578
2007:08,-1.6601,,,0.3706
2007:09,3.2475,,,5.2053
2007:10,3.5774,,,3.7633
2007:11,9.976,,,9.8492
2007:12,3.4441,,,3.5336
2008:01,4.8435,,,4.2166
2008:02,0.311,,,2.9403
2008:03,4.1997,,,4.3791
2008:04,2.5152,,,2.8129
2008:05,8.083,,,7.3367
2008:06,13.4296,,,13.3244
2008:07,10.2677,,,8.9145
2008:08,-1.6356,,,-1.7716
2008:09,-0.3667,,,1.0309
2008:10,-10.9426,,,-9.8439
2008:11,-18.4403,,,-19.295
2008:12,-8.4929,,,-9.4449
2009:01,3.439,,,3.0796
2009:02,4.8143,,,4.4598
2009:03,-1.6382,,,-1.1783
2009:04,-0.2423,,,1.2152
2009:05,1.1629,,,1.7802
2009:06,9.2977,,,10.427
2009:07,0.056,,,-0.357
2009:08,5.4998,,,4.093
2009:09,2.0409,,,2.3418
2009:10,3.3537,,,3.6624
2009:11,4.9039,,,4.0931
2009:12,1.6193,,,0.626
2010:01,2.0238,,,0.7813
2010:02,0.0221,,,-1.1362
2010:03,0.7637,,,0.3984
2010:04,-0.8236,,,0.2764
2010:05,-1.9404,,,-0.6219
2010:06,-1.6175,,,-0.5014
2010:07,3.7584,,,2.2663
2010:08,3.0927,,,1.7678
2010:09,1.228,,,1.9556
2010:10,2.8219,,,4.2592
2010:11,1.4737,,,3.0833
2010:12,6.2272,,,4.9278
2011:01,4.88,,,3.9618
2011:02,6.7582,,,3.9263
2011:03,6.7891,,,6.388
2011:04,5.1825,,,5.7806
2011:05,2.0018,,,3.8856
2011:06,-2.6366,,,0
2011:07,6.1648,,,3.1897
2011:08,4.581,,,3.8517
2011:09,3.7049,,,2.6372
2011:10,-1.0105,,,0.8133
2011:11,-0.2273,,,2.2401
2011:12,0.143,,,0.2856
2012:01,2.5235,,,3.3185
2012:02,5.0062,,,2.5953
2012:03,3.5498,,,2.5413
2012:04,0.4146,,,2.0113
2012:05,-3.3509,,,-2.4538
2012:06,0.4789,,,-0.9871
2012:07,0.5525,,,0.3471
2012:08,7.4798,,,7.1986
2012:09,7.0609,,,5.8782
2012:10,1.7616,,,3.2846
2012:11,-3.6951,,,-1.9967
2012:12,-0.2387,,,-0.1452
2013:01,0.3172,,,2.403
2013:02,8.4714,,,6.7141
2013:03,-2.1944,,,-3.3226
2013:04,-4.3277,,,-2.477
2013:05,1.8085,,,0.4981
2013:06,5.9157,,,2.8942
2013:07,1.9437,,,2.3744
2013:08,1.075,,,2.9027
2013:09,2.1849,,,0.4533
2013:10,-0.7107,,,0.6442
2013:11,0.4062,,,2.236
2013:12,3.6247,,,3.2196
2014:01,1.7479,,,2.9481
2014:02,1.2121,,,1.329
2014:03,2.43,,,2.4782
2014:04,3.172,,,2.2601
2014:05,4.2929,,,2.3077
2014:06,3.1316,,,1.5969
2014:07,1.0959,,,1.359
2014:08,-2.3993,,,-0.1918
2014:09,1.041,,,0.0859
2014:10,0.0455,,,-0.2372
2014:11,-3.0371,,,-2.2359
2014:12,-4.3798,,,-3.6394
2015:01,-7.8629,,,-7.3822
2015:02,2.634,,,3.0843
2015:03,2.8636,,,3.2811
2015:04,1.2388,,,1.2582
2015:05,5.4667,,,4.0299
2015:06,3.89,,,3.3725
2015:07,1.5911,,,1.9203
2015:08,-0.8434,,,-0.005
2015:09,-1.8254,,,-2.664
