Core Consumer Price Index (PCPIX),,,,
"M/M Growth (Annual Rate, Percentage Points)",,,,
"First-Release, Second-Release, Third-Release, and the Most-Recent-Release Values",,,,
,,,,
Date,First,Second,Third,Most_Recent
1998:10,2.0827,,,1.3865
1998:11,2.079,,,2.7873
1998:12,3.4809,,,4.1977
1999:01,0.6855,,,1.3769
1999:02,0.6851,,,0
1999:03,1.3738,,,0.6855
1999:04,4.8785,,,4.1757
1999:05,1.3667,,,1.3698
1999:06,0.6805,,,0.682
1999:07,2.053,,,3.4509
1999:08,1.3621,,,1.3636
1999:09,4.1326,,,3.4371
1999:10,2.0402,,,2.0436
1999:11,2.724,,,2.0402
1999:12,1.3506,,,2.0367
2000:01,2.031,,,4.1043
2000:02,2.0275,,,0.6713
2000:03,5.4813,,,4.088
2000:04,2.015,,,2.0184
2000:05,2.0117,,,2.695
2000:06,2.0083,,,2.6889
2000:07,2.6814,,,2.6829
2000:08,2.6754,,,2.6769
2000:09,3.3451,,,2.671
2000:10,1.9894,,,1.9927
2000:11,3.3303,,,3.3358
2000:12,0.6563,,,1.3187
2001:01,3.995,,,3.9995
2001:02,3.9818,,,3.3119
2001:03,2.63,,,1.9698
2001:04,2.6242,,,2.63
2001:05,1.3015,,,1.3043
2001:06,3.9469,,,4.6286
2001:07,1.9496,,,2.6114
2001:08,2.6029,,,1.9485
2001:09,2.5973,,,2.6015
2001:10,1.938,,,1.9412
2001:11,4.5682,,,4.5756
2001:12,1.2813,,,1.9308
2002:01,1.9287,,,1.9277
2002:02,3.2281,,,2.5736
2002:03,1.2766,,,0.6364
2002:04,3.216,,,3.2177
2002:05,1.9133,,,1.9143
2002:06,0.6331,,,1.2705
2002:07,1.9093,,,1.9093
2002:08,3.8457,,,3.8457
2002:09,1.2631,,,1.2631
2002:10,1.8982,,,1.2618
2002:11,1.8952,,,2.5355
2002:12,0.6271,,,1.2578
2003:01,1.2565,,,1.8902
2003:02,1.2552,,,0.6255
2003:03,0,,,0
2003:04,0,,,0
2003:05,3.1618,,,2.5222
2003:06,0,,,0.6239
2003:07,2.5156,,,2.5156
2003:08,1.248,,,1.248
2003:09,0.6216,,,0.6216
2003:10,2.5064,,,1.8745
2003:11,-0.6165,,,0
2003:12,1.2442,,,1.2442
2004:01,1.8706,,,2.4999
2004:02,2.4973,,,1.8657
2004:03,4.3984,,,3.7574
2004:04,3.1126,,,2.4831
2004:05,2.4767,,,1.8532
2004:06,1.2289,,,2.4741
2004:07,1.2276,,,1.2276
2004:08,0.6115,,,0.6115
2004:09,3.7186,,,3.7186
2004:10,2.4576,,,2.4576
2004:11,1.8343,,,2.4526
2004:12,1.8315,,,1.8306
2005:01,2.4451,,,2.4439
2005:02,3.0587,,,2.4389
2005:03,4.2949,,,4.2949
2005:04,0.6014,,,0.6014
2005:05,1.8131,,,1.8131
2005:06,1.2036,,,0.6001
2005:07,1.8085,,,1.8095
2005:08,1.2006,,,1.2012
2005:09,1.1994,,,1.2
2005:10,3.0202,,,4.2536
2005:11,3.0126,,,3.0111
2005:12,2.3975,,,1.7923
2006:01,2.3927,,,2.3927
2006:02,1.7861,,,2.3879
2006:03,4.2068,,,4.2047
2006:04,3.5835,,,2.9767
2006:05,3.5728,,,3.5728
2006:06,3.5622,,,2.9606
2006:07,2.3551,,,2.3563
2006:08,2.946,,,2.9475
2006:09,2.9388,,,2.3459
2006:10,1.1633,,,2.3414
2006:11,0.5796,,,1.1622
2006:12,2.3357,,,1.7463
2007:01,3.1113,,,2.9216
2007:02,2.9318,,,3.1214
2007:03,0.7369,,,1.636
2007:04,2.1483,,,1.9016
2007:05,1.8123,,,1.7939
2007:06,2.8252,,,1.9248
2007:07,2.8712,,,2.1949
2007:08,1.8184,,,1.9878
2007:09,2.6678,,,2.5008
2007:10,1.9212,,,3.0073
2007:11,3.3496,,,3.3491
2007:12,2.9454,,,2.9045
2008:01,3.7921,,,3.4478
2008:02,0.4838,,,0.9472
2008:03,1.839,,,2.7316
2008:04,1.251,,,0.7863
2008:05,2.4564,,,2.1233
2008:06,3.9461,,,2.7588
2008:07,3.9909,,,3.0556
2008:08,2.3559,,,2.4043
2008:09,1.7081,,,1.7891
2008:10,-0.854,,,0.4161
2008:11,0.266,,,0.8837
2008:12,-0.1825,,,-0.1216
