survey_q,origin,horizon_quarters,endpoint,maturity_vintage,base_level,end_level,target_annualized_pct
1993Q3,1993Q2,4,1994Q2,1994Q3,144.23333333333335,147.73333333333332,2.397648820223465
1993Q4,1993Q3,4,1994Q3,1994Q4,144.9,149.03333333333333,2.812614524518844
1994Q1,1993Q4,2,1994Q2,1994Q3,145.96666666666667,147.73333333333332,2.4061123251442478
1994Q1,1993Q4,4,1994Q4,1995Q1,146.0,149.83333333333334,2.59169435352289
1994Q2,1994Q1,1,1994Q2,1994Q3,146.73333333333332,147.73333333333332,2.7167865362850807
1994Q2,1994Q1,2,1994Q3,1994Q4,146.73333333333332,149.03333333333333,3.110622829514752
1994Q2,1994Q1,4,1995Q1,1995Q2,146.76666666666668,150.96666666666667,2.8215037800459886
1994Q3,1994Q2,1,1994Q3,1994Q4,147.73333333333332,149.03333333333333,3.504459122744407
1994Q3,1994Q2,2,1994Q4,1995Q1,147.70000000000002,149.83333333333334,2.8680751412462393
1994Q3,1994Q2,4,1995Q2,1995Q3,147.70000000000002,152.23333333333335,3.0231241985509403
1994Q4,1994Q3,1,1994Q4,1995Q1,149.0,149.83333333333334,2.230903719242486
1994Q4,1994Q3,2,1995Q1,1995Q2,149.0,150.96666666666667,2.622551189719875
1994Q4,1994Q3,4,1995Q3,1995Q4,149.0,153.0,2.6491615446976287
1995Q1,1994Q4,1,1995Q1,1995Q2,149.83333333333334,150.96666666666667,3.0141986601972266
1995Q1,1994Q4,2,1995Q2,1995Q3,149.83333333333334,152.23333333333335,3.1781732558556883
1995Q1,1994Q4,4,1995Q4,1996Q1,149.83333333333334,153.79999999999998,2.6129491827978226
1995Q2,1995Q1,1,1995Q2,1995Q3,150.96666666666667,152.23333333333335,3.3421478515140435
1995Q2,1995Q1,2,1995Q3,1995Q4,150.96666666666667,153.0,2.675771899675378
1995Q2,1995Q1,4,1996Q1,1996Q2,150.93333333333334,155.1,2.7231831961629624
1995Q3,1995Q2,1,1995Q3,1995Q4,152.23333333333335,153.0,2.009395947836732
1995Q3,1995Q2,2,1995Q4,1996Q1,152.23333333333335,153.79999999999998,2.0477251097399596
1995Q3,1995Q2,4,1996Q2,1996Q3,152.20000000000002,156.56666666666666,2.828645893725414
1995Q4,1995Q3,1,1995Q4,1996Q1,153.0,153.79999999999998,2.0860542716432473
1995Q4,1995Q3,2,1996Q1,1996Q2,152.96666666666667,155.1,2.7700074899630036
1995Q4,1995Q3,4,1996Q3,1996Q4,152.96666666666667,157.46666666666667,2.899376292241947
1996Q1,1995Q4,1,1996Q1,1996Q2,153.86666666666667,155.1,3.1934574626851604
1996Q1,1995Q4,2,1996Q2,1996Q3,153.86666666666667,156.56666666666666,3.4790955678119255
1996Q1,1995Q4,4,1996Q4,1997Q1,153.86666666666667,158.70000000000002,3.0929201006583393
1996Q2,1996Q1,1,1996Q2,1996Q3,155.1,156.56666666666666,3.7647336729386387
1996Q2,1996Q1,2,1996Q3,1996Q4,155.1,157.46666666666667,3.0287450945208882
1996Q2,1996Q1,4,1997Q1,1997Q2,155.13333333333333,159.70000000000002,2.9012093020885272
1996Q3,1996Q2,1,1996Q3,1996Q4,156.56666666666666,157.46666666666667,2.292756516103181
1996Q3,1996Q2,2,1996Q4,1997Q1,156.56666666666666,158.70000000000002,2.7067446335047443
1996Q3,1996Q2,4,1997Q2,1997Q3,156.4333333333333,160.13333333333333,2.3376867405456534
1996Q4,1996Q3,1,1996Q4,1997Q1,157.46666666666667,158.70000000000002,3.120732750906331
1996Q4,1996Q3,2,1997Q1,1997Q2,157.46666666666667,159.70000000000002,2.816651913173843
1996Q4,1996Q3,4,1997Q3,1997Q4,157.46666666666667,160.93333333333334,2.1776404900169197
1997Q1,1996Q4,1,1997Q1,1997Q2,158.76666666666668,159.70000000000002,2.344574432904693
1997Q1,1996Q4,2,1997Q2,1997Q3,158.76666666666668,160.13333333333333,1.7142364798027436
1997Q1,1996Q4,4,1997Q4,1998Q1,158.76666666666668,161.76666666666668,1.871934860435585
1997Q2,1997Q1,1,1997Q2,1997Q3,159.70000000000002,160.13333333333333,1.0838985267007126
1997Q2,1997Q1,2,1997Q3,1997Q4,159.70000000000002,160.93333333333334,1.5386290668599847
1997Q2,1997Q1,4,1998Q1,1998Q2,159.63333333333333,161.96666666666667,1.4511034063293726
1997Q3,1997Q2,1,1997Q3,1997Q4,160.13333333333333,160.93333333333334,1.9933596070192363
1997Q3,1997Q2,2,1997Q4,1998Q1,160.13333333333333,161.76666666666668,2.0296332410684363
1997Q3,1997Q2,4,1998Q2,1998Q3,160.16666666666666,162.76666666666668,1.6102742657267526
1997Q4,1997Q3,1,1997Q4,1998Q1,160.93333333333334,161.76666666666668,2.065906875117663
1997Q4,1997Q3,2,1998Q1,1998Q2,160.93333333333334,161.96666666666667,1.2800704376961791
1997Q4,1997Q3,4,1998Q3,1998Q4,160.93333333333334,163.5,1.582278978204122
1998Q1,1997Q4,1,1998Q1,1998Q2,161.76666666666668,161.96666666666667,0.4942340002746849
1998Q1,1997Q4,2,1998Q2,1998Q3,161.76666666666668,162.76666666666668,1.2325429312888099
1998Q1,1997Q4,4,1998Q4,1999Q1,161.76666666666668,164.26666666666668,1.5336155808139462
1998Q2,1998Q1,1,1998Q2,1998Q3,161.96666666666667,162.76666666666668,1.9708518623029507
1998Q2,1998Q1,2,1998Q3,1998Q4,161.96666666666667,163.5,1.8844875187120766
1998Q2,1998Q1,4,1999Q1,1999Q2,162.06666666666666,164.76666666666665,1.6522558430890608
1998Q3,1998Q2,1,1998Q3,1998Q4,162.76666666666668,163.5,1.798123175121227
1998Q3,1998Q2,2,1998Q4,1999Q1,162.76666666666668,164.26666666666668,1.8346882303390877
1998Q3,1998Q2,4,1999Q2,1999Q3,162.79999999999998,166.2,2.066942885290798
1998Q4,1998Q3,1,1998Q4,1999Q1,163.5,164.26666666666668,1.8712532855569606
1998Q4,1998Q3,2,1999Q1,1999Q2,163.46666666666667,164.76666666666665,1.5842471381823524
1998Q4,1998Q3,4,1999Q3,1999Q4,163.46666666666667,167.26666666666665,2.298024931032021
1999Q1,1998Q4,1,1999Q1,1999Q2,164.16666666666666,164.76666666666665,1.4592638803080449
1999Q1,1998Q4,2,1999Q2,1999Q3,164.16666666666666,166.2,2.4619420954627973
1999Q1,1998Q4,4,1999Q4,2000Q1,164.16666666666666,168.46666666666667,2.5855734341950427
1999Q2,1999Q1,1,1999Q2,1999Q3,164.76666666666665,166.2,3.4646203106175415
1999Q2,1999Q1,2,1999Q3,1999Q4,164.76666666666665,167.26666666666665,3.0118027238816394
1999Q2,1999Q1,4,2000Q1,2000Q2,164.86666666666667,170.1,3.1249432982609786
1999Q3,1999Q2,1,1999Q3,1999Q4,166.2,167.26666666666665,2.55898513714572
1999Q3,1999Q2,2,1999Q4,2000Q1,166.2,168.46666666666667,2.7092047729272677
1999Q3,1999Q2,4,2000Q2,2000Q3,166.2,171.6,3.1974304632514103
1999Q4,1999Q3,1,1999Q4,2000Q1,167.26666666666665,168.46666666666667,2.8594244087087985
1999Q4,1999Q3,2,2000Q1,2000Q2,167.23333333333332,170.1,3.399291315943722
1999Q4,1999Q3,4,2000Q3,2000Q4,167.23333333333332,173.03333333333333,3.409421134297614
2000Q1,1999Q4,1,2000Q1,2000Q2,168.43333333333334,170.1,3.938590308825121
2000Q1,1999Q4,2,2000Q2,2000Q3,168.43333333333334,171.6,3.7252326848217483
2000Q1,1999Q4,4,2000Q4,2001Q1,168.43333333333334,174.20000000000002,3.3664040788649263
2000Q2,2000Q1,1,2000Q2,2000Q3,170.1,171.6,3.5118750608183094
2000Q2,2000Q1,2,2000Q3,2000Q4,170.20000000000002,173.03333333333333,3.302007605159955
2000Q2,2000Q1,4,2001Q1,2001Q2,170.26666666666665,176.0666666666667,3.349687570464794
2000Q3,2000Q2,1,2000Q3,2000Q4,171.73333333333335,173.03333333333333,3.016547217215722
2000Q3,2000Q2,2,2000Q4,2001Q1,171.73333333333335,174.20000000000002,2.852235659273671
2000Q3,2000Q2,4,2001Q2,2001Q3,171.53333333333333,177.4,3.3629458695945003
2000Q4,2000Q3,1,2000Q4,2001Q1,173.03333333333333,174.20000000000002,2.687924101331579
2000Q4,2000Q3,2,2001Q1,2001Q2,173.03333333333333,176.0666666666667,3.475691405969746
2000Q4,2000Q3,4,2001Q3,2001Q4,173.03333333333333,177.70000000000002,2.661248099553203
2001Q1,2000Q4,1,2001Q1,2001Q2,174.26666666666665,176.0666666666667,4.110407245186089
2001Q1,2000Q4,2,2001Q2,2001Q3,174.26666666666665,177.4,3.5640753587044114
2001Q1,2000Q4,4,2001Q4,2002Q1,174.26666666666665,177.5,1.8383915833513307
2001Q2,2001Q1,1,2001Q2,2001Q3,176.0666666666667,177.4,3.0177434722227114
2001Q2,2001Q1,2,2001Q3,2001Q4,176.0666666666667,177.70000000000002,1.8468047931367113
2001Q2,2001Q1,4,2002Q1,2002Q2,175.9,178.0666666666667,1.2242360264238419
2001Q3,2001Q2,1,2001Q3,2001Q4,177.4,177.70000000000002,0.6758661140506694
2001Q3,2001Q2,2,2001Q4,2002Q1,177.4,177.5,0.11270780799828349
2001Q3,2001Q2,4,2002Q2,2002Q3,177.26666666666665,179.5666666666667,1.2891350877568857
2001Q4,2001Q3,1,2001Q4,2002Q1,177.70000000000002,177.5,-0.4504504980540989
2001Q4,2001Q3,2,2002Q1,2002Q2,177.6,178.0666666666667,0.5248362899362579
2001Q4,2001Q3,4,2002Q3,2002Q4,177.6,180.4,1.5642777070453762
2002Q1,2001Q4,1,2002Q1,2002Q2,177.46666666666667,178.0666666666667,1.3500856619616346
2002Q1,2001Q4,2,2002Q2,2002Q3,177.46666666666667,179.5666666666667,2.3527486331063456
2002Q1,2001Q4,4,2002Q4,2003Q1,177.46666666666667,181.46666666666667,2.2289184256354546
2002Q2,2002Q1,1,2002Q2,2002Q3,178.0666666666667,179.5666666666667,3.3554116042510733
2002Q2,2002Q1,2,2002Q3,2002Q4,178.0666666666667,180.4,2.60371912415447
2002Q2,2002Q1,4,2003Q1,2003Q2,178.0,183.13333333333333,2.8430934700978567
2002Q3,2002Q2,1,2002Q3,2002Q4,179.5666666666667,180.4,1.8520266440579123
2002Q3,2002Q2,2,2002Q4,2003Q1,179.5666666666667,181.46666666666667,2.1050882181645454
2002Q3,2002Q2,4,2003Q2,2003Q3,179.53333333333333,183.4,2.1308668112975626
2002Q4,2002Q3,1,2002Q4,2003Q1,180.4,181.46666666666667,2.3581497922711936
2002Q4,2002Q3,2,2003Q1,2003Q2,180.5,183.13333333333333,2.8967414440256185
2002Q4,2002Q3,4,2003Q3,2003Q4,180.5,184.46666666666667,2.173800091178028
2003Q1,2002Q4,1,2003Q1,2003Q2,181.4,183.13333333333333,3.8039789248110023
2003Q1,2002Q4,2,2003Q2,2003Q3,181.4,183.4,2.193004428265648
2003Q1,2002Q4,4,2003Q4,2004Q1,181.4,184.86666666666667,1.8930306832531836
2003Q2,2003Q1,1,2003Q2,2003Q3,183.13333333333333,183.4,0.5820299317203309
2003Q2,2003Q1,2,2003Q3,2003Q4,183.13333333333333,184.46666666666667,1.4508587383304257
2003Q2,2003Q1,4,2004Q1,2004Q2,183.13333333333333,186.4333333333333,1.7859228166368746
2003Q3,2003Q2,1,2003Q3,2003Q4,183.4,184.46666666666667,2.3196875449405163
2003Q3,2003Q2,2,2003Q4,2004Q1,183.4,184.86666666666667,1.593056938240723
2003Q3,2003Q2,4,2004Q2,2004Q3,183.4,188.6,2.795881037699251
2003Q4,2003Q3,1,2003Q4,2004Q1,184.46666666666667,184.86666666666667,0.86642633154083
2003Q4,2003Q3,2,2004Q1,2004Q2,184.46666666666667,186.4333333333333,2.120986894943337
2003Q4,2003Q3,4,2004Q3,2004Q4,184.46666666666667,189.46666666666667,2.6744328870120113
2004Q1,2003Q4,1,2004Q1,2004Q2,184.79999999999998,186.4333333333333,3.5198215807395363
2004Q1,2003Q4,2,2004Q2,2004Q3,184.79999999999998,188.6,4.070842198354688
2004Q1,2003Q4,4,2004Q4,2005Q1,184.79999999999998,191.0666666666667,3.3348248078323506
2004Q2,2004Q1,1,2004Q2,2004Q3,186.4333333333333,188.6,4.621862815969859
2004Q2,2004Q1,2,2004Q3,2004Q4,186.4333333333333,189.46666666666667,3.227878879080691
2004Q2,2004Q1,4,2005Q1,2005Q2,186.5666666666667,192.16666666666666,2.9574413811799634
2004Q3,2004Q2,1,2004Q3,2004Q4,188.6,189.46666666666667,1.833894942191547
2004Q3,2004Q2,2,2004Q4,2005Q1,188.6,191.0666666666667,2.598807417310021
2004Q3,2004Q2,4,2005Q2,2005Q3,188.6,194.13333333333333,2.8916838015009403
2004Q4,2004Q3,1,2004Q4,2005Q1,189.46666666666667,191.0666666666667,3.3637198924285316
2004Q4,2004Q3,2,2005Q1,2005Q2,189.36666666666667,192.16666666666666,2.935576029206473
2004Q4,2004Q3,4,2005Q3,2005Q4,189.36666666666667,196.5666666666667,3.731647344337743
2005Q1,2004Q4,1,2005Q1,2005Q2,191.0333333333333,192.16666666666666,2.3660472605688248
2005Q1,2004Q4,2,2005Q2,2005Q3,191.0333333333333,194.13333333333333,3.2194550649568923
2005Q1,2004Q4,4,2005Q4,2006Q1,191.0333333333333,198.13333333333333,3.649227184585783
2005Q2,2005Q1,1,2005Q2,2005Q3,192.16666666666666,194.13333333333333,4.072862869345034
2005Q2,2005Q1,2,2005Q3,2005Q4,192.16666666666666,196.5666666666667,4.527718659468969
2005Q2,2005Q1,4,2006Q1,2006Q2,192.23333333333335,199.29999999999998,3.6101315265491567
2005Q3,2005Q2,1,2005Q3,2005Q4,194.13333333333333,196.5666666666667,4.982574449592943
2005Q3,2005Q2,2,2005Q4,2006Q1,194.13333333333333,198.13333333333333,4.078999304214625
2005Q3,2005Q2,4,2006Q2,2006Q3,194.0,201.73333333333335,3.9088534182763106
2005Q4,2005Q3,1,2005Q4,2006Q1,196.5666666666667,198.13333333333333,3.1754241588362917
2005Q4,2005Q3,2,2006Q1,2006Q2,196.63333333333333,199.29999999999998,2.6940969755658175
2005Q4,2005Q3,4,2006Q3,2006Q4,196.63333333333333,203.19999999999996,3.284997336340676
